Instance(196): 	 2.204102 3.803711 0.763729 
Instance(197): 	 2.186523 3.821289 0.753501 
Instance(198): 	 2.186523 3.838867 0.747935 
Instance(199): 	 2.204102 3.874023 0.738294 
Instance(200): 	 2.133789 3.891602 0.718419 
Instance(201): 	 2.256836 3.733398 0.800483 
Instance(202): 	 2.256836 3.803711 0.775860 
Instance(203): 	 2.133789 3.874023 0.723702 
Instance(204): 	 2.309570 3.786133 0.791211 
Instance(205): 	 2.151367 3.856445 0.733481 
Instance(206): 	 2.098633 3.891602 0.709307 
Instance(207): 	 2.168945 3.821289 0.748410 
Instance(208): 	 2.291992 3.821289 0.772170 
Instance(209): 	 2.204102 3.803711 0.763729 
Instance(210): 	 2.256836 3.715820 0.805162 
Instance(211): 	 2.239258 3.768555 0.784580 
Instance(212): 	 2.204102 3.750977 0.777441 
Instance(213): 	 2.239258 3.786133 0.778760 
Instance(214): 	 2.204102 3.768555 0.773443 
Instance(215): 	 2.327148 3.786133 0.792628 
Instance(216): 	 2.151367 3.838867 0.738401 
Instance(217): 	 2.168945 3.786133 0.756844 
Instance(218): 	 2.133789 3.891602 0.718419 
Instance(219): 	 2.204102 3.803711 0.763729 
Instance(220): 	 2.256836 3.733398 0.800483 
Instance(221): 	 2.204102 3.803711 0.763729 
Instance(222): 	 2.186523 3.786133 0.763102 
Instance(223): 	 2.204102 3.821289 0.758074 
Instance(224): 	 2.081055 3.891602 0.704121 
Instance(225): 	 2.063477 3.891602 0.698548 
Instance(226): 	 2.168945 3.856445 0.737942 
Instance(227): 	 2.116211 3.856445 0.723159 
Instance(228): 	 2.256836 3.768555 0.789286 
Instance(229): 	 2.256836 3.786133 0.782835 
Instance(230): 	 2.186523 3.821289 0.753501 
Instance(231): 	 2.133789 3.838867 0.732918 
Instance(232): 	 2.239258 3.786133 0.778760 
Instance(233): 	 2.239258 3.838867 0.758229 
Instance(234): 	 2.116211 3.838867 0.726998 
Instance(235): 	 2.116211 3.874023 0.718845 
Instance(236): 	 2.274414 3.750977 0.799918 
Instance(237): 	 2.081055 3.909180 0.699933 
Instance(238): 	 2.133789 3.856445 0.728544 
Instance(239): 	 2.116211 3.786133 0.735397 
Instance(240): 	 2.274414 3.856445 0.753179 
Instance(241): 	 2.256836 3.786133 0.782835 
Instance(242): 	 2.063477 3.961914 0.681314 
Instance(243): 	 2.186523 3.803711 0.758567 
Instance(244): 	 2.168945 3.891602 0.725674 
Instance(245): 	 2.081055 3.821289 0.716245 
Instance(246): 	 2.221680 3.786133 0.774092 
Instance(247): 	 2.309570 3.733398 0.814736 
Instance(248): 	 2.116211 3.874023 0.718845 
Instance(249): 	 2.168945 3.838867 0.743416 
Instance(250): 	 2.204102 3.821289 0.758074 
Instance(251): 	 2.116211 3.891602 0.714082 
Instance(252): 	 2.151367 3.926758 0.709491 
Instance(253): 	 2.239258 3.768555 0.784580 
Instance(254): 	 2.186523 3.891602 0.728541 
Instance(255): 	 2.186523 3.944336 0.705737 
Instance(256): 	 2.204102 3.856445 0.745325 
Instance(257): 	 2.168945 3.821289 0.748410 
Instance(258): 	 2.221680 3.838867 0.755369 
Instance(259): 	 2.133789 3.856445 0.728544 
Instance(260): 	 2.151367 3.838867 0.738401 
Instance(261): 	 2.168945 3.838867 0.743416 
Instance(262): 	 2.239258 3.715820 0.798509 
Instance(263): 	 2.256836 3.856445 0.752144 
Instance(264): 	 2.151367 3.838867 0.738401 
Instance(265): 	 2.133789 3.874023 0.723702 
Instance(266): 	 2.186523 3.926758 0.713668 
Instance(267): 	 2.168945 3.856445 0.737942 
Instance(268): 	 2.362305 3.856445 0.748039 
Instance(269): 	 2.221680 3.750977 0.783908 
Instance(270): 	 2.063477 3.926758 0.690724 
Instance(271): 	 2.186523 3.838867 0.747935 
Instance(272): 	 2.309570 3.821289 0.773044 
Instance(273): 	 2.168945 3.821289 0.748410 
Instance(274): 	 2.081055 3.909180 0.699933 
Instance(275): 	 2.221680 3.803711 0.768352 
Instance(276): 	 2.098633 3.961914 0.688248 
Instance(277): 	 2.221680 3.856445 0.748192 
Instance(278): 	 2.221680 3.821289 0.762100 
Instance(279): 	 2.116211 3.909180 0.708896 
Instance(280): 	 2.204102 3.821289 0.758074 
Instance(281): 	 2.274414 3.786133 0.786288 
Instance(282): 	 2.098633 3.926758 0.699537 
Instance(283): 	 2.327148 3.750977 0.810168 
Instance(284): 	 2.221680 3.786133 0.774092 
Instance(285): 	 2.256836 3.750977 0.795180 
Instance(286): 	 2.221680 3.821289 0.762100 
Instance(287): 	 2.204102 3.838867 0.751929 
Instance(288): 	 2.239258 3.768555 0.784580 
Instance(289): 	 2.327148 3.733398 0.818137 
Instance(290): 	 2.239258 3.856445 0.750473 
Instance(291): 	 2.081055 3.909180 0.699933 
Instance(292): 	 2.081055 3.909180 0.699933 
Instance(293): 	 2.028320 4.014648 0.658734 
Instance(294): 	 2.116211 3.926758 0.703315 
Instance(295): 	 2.239258 3.768555 0.784580 
Instance(296): 	 2.239258 3.768555 0.784580 
Instance(297): 	 2.204102 3.750977 0.777441 
Instance(298): 	 2.204102 3.874023 0.738294 
Instance(299): 	 2.151367 3.838867 0.738401 
Instance(300): 	 2.186523 3.821289 0.753501 
Instance(301): 	 2.344727 3.698242 0.836341 
Instance(302): 	 2.186523 3.803711 0.758567 
Instance(303): 	 2.274414 3.821289 0.770612 
Instance(304): 	 2.256836 3.786133 0.782835 
Instance(305): 	 2.221680 3.768555 0.779288 
Instance(306): 	 2.204102 3.786133 0.768862 
Instance(307): 	 2.045898 3.926758 0.685737 
Instance(308): 	 2.098633 3.944336 0.694070 
Instance(309): 	 2.098633 3.909180 0.704625 
Instance(310): 	 2.116211 3.874023 0.718845 
Instance(311): 	 2.168945 3.838867 0.743416 
Instance(312): 	 2.239258 3.750977 0.789833 
Instance(313): 	 2.221680 3.750977 0.783908 
Instance(314): 	 2.098633 3.909180 0.704625 
Instance(315): 	 2.186523 3.821289 0.753501 
Instance(316): 	 2.221680 3.803711 0.768352 
Instance(317): 	 2.204102 3.803711 0.763729 
Instance(318): 	 2.116211 3.891602 0.714082 
Instance(319): 	 2.116211 3.891602 0.714082 
Instance(320): 	 2.221680 3.786133 0.774092 
